source,target,coef_abs
alx4b,sox11a,0.014945246
foxd1,pcna,0.014937502
rorb,prdx2,0.014922911
foxg1d,myca,0.014901605
barhl1b,tmsb4x,0.014870824
six3b,myca,0.014864412
tp53,slc1a3a,0.014863114
hmx4,eif5a2,0.014855297
meis3,twist1a,0.014838979
tfap2e,robo1,0.01483256
sox10,tmsb4x,0.014831656
gsx1,hmgn2,0.014831258
meis2a,hmga1a,0.0148264095
sox11b,hmgn2,0.014816336
vsx1,hsp90ab1,0.014812826
meis3,cxcl12a,0.014812629
en2b,prmt1,0.01479834
foxd1,eif5a2,0.014791957
shox2,ptmaa,0.01477651
meis2a,rxraa,0.0147406105
lhx9,hmga1a,0.014730277
tbx2b,mibp2,0.014716936
otx5,fabp7a,0.014714813
lhx4,hspe1,0.014714454
sox5,col5a2a,0.014704756
wt1a,slc1a3a,0.0147041865
irx6a,eif5a2,0.01469507
twist1a,nop58,0.014687586
en2b,hsp90ab1,0.014685768
hoxa4a,hsp90ab1,0.014679452
irx6a,stmn1a,0.014673546
barx1,tmsb4x,0.0146651715
lbx1b,hmgb2a,0.014664255
otx5,pcna,0.014664145
gata6,pabpc1a,0.014655428
emx1,pcna,0.014654181
sox1b,hbae3,0.014652355
tfap2b,nop56,0.014647081
tbx2b,stmn1a,0.014647035
bcl11ab,tmsb4x,0.014646477
zic1,kirrel3l,0.014636766
gata6,serbp1a,0.014630442
vax2,fabp7a,0.014613244
shox2,hmga1a,0.014608332
her9,sox11a,0.014605026
alx4a,ccng1,0.014599202
phox2bb,pcdh19,0.014599173
hmga1a,qkia,0.014597082
myod1,rxraa,0.0145965405
barx1,metap2b,0.014588354
foxi3a,boc,0.014586371
tp53,fabp11a,0.014577736
hmga1a,mki67,0.014567831
hoxa4a,stmn1a,0.014558688
etv4,hmga1a,0.014555039
sox1a,serbp1a,0.014550554
barhl1b,ncl,0.0145477345
emx2,hspa8,0.01452925
gfi1aa,pcna,0.014524905
nkx2.4a,rxraa,0.014510495
hoxb3a,cirbpa,0.014509692
fli1b,cdon,0.01450945
vax2,hsp90ab1,0.014507927
foxg1d,c1qbp,0.0144997835
jun,tmsb4x,0.014499279
irx6a,hmgb2a,0.014498849
barhl1b,nop58,0.014488803
foxi2,slc1a3a,0.014487737
foxj1a,ccnd1,0.014485144
rfx4,epha4b,0.014484937
rxraa,cntfr,0.0144768255
zgc:101100,ptmaa,0.014476224
etv2,cdon,0.014459647
emx1,pabpc1a,0.014457688
hoxb5b,top2a,0.014453445
sox21a,nop56,0.014439475
six6b,pax6a,0.014437642
sox11a,boc,0.014434408
hmx4,nop56,0.014433551
nkx2.5,pcna,0.014426238
tbr1b,fabp7a,0.01441975
sox11b,fabp7a,0.014417915
irx6a,npm1a,0.014416949
egr2b,hoxb8a,0.014398317
en1b,nusap1,0.014397599
bhlhe22,si:ch73-21g5.7,0.014392162
tfap2a,hmga1a,0.014381887
bhlhe41,hmgb2a,0.014369151
egr2a,sox11a,0.01436763
vax1,marcksl1a,0.014366069
arxb,pax7b,0.014360792
en2b,marcksl1a,0.014353111
egr3,boc,0.0143490555
lef1,sox11a,0.014333319
her6,pa2g4a,0.0143279
lmx1ba,ptprfb,0.014311398
im:7142702,sox11a,0.014305578
hoxa4a,pabpc1a,0.014294879
tfap2e,nop56,0.014294675
foxg1a,cyp26c1,0.014283222
etv2,cntfr,0.014277083
lhx9,hspa8,0.014238306
emx2,hsp90ab1,0.014230803
meis2a,pax6a,0.014230768
nkx2.4b,ccnd1,0.014226821
tbx16,tenm4,0.014219308
nr5a1b,fabp11a,0.014218779
foxd1,npm1a,0.0142133385
sox10,stmn1a,0.014195958
pbx1b,cdh6,0.014190133
emx1,cirbpa,0.0141793545
her9,pabpc1a,0.014171741
vsx1,ube2c,0.014157703
barhl1b,ptmab,0.014150275
twist1a,krt18a.1,0.014148325
nr2f1b,stmn1a,0.014135271
hoxb6a,tmsb,0.014119327
en1b,actb1,0.01411872
fli1b,ncl,0.014110238
cebpb,apoeb,0.014092603
nr5a1a,hbae1.1,0.014091531
pax6b,actc1b,0.014083163
irx6a,hsp90ab1,0.014082908
gata6,boc,0.014079948
gata3,prmt1,0.014077781
otpa,fabp11a,0.014074251
tbx1,postnb,0.014072585
nkx2.1,hmga1a,0.014060074
hnf1bb,pabpc1a,0.014059085
nfixb,pa2g4a,0.0140549755
foxj1a,sox11a,0.014048521
